"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"            Senegal","","","","","0","±232","","","1,795","±729","163","±184","714","±551","","","","","106","±130","1,497","±1,115","","","","","484","±440","801","±711","","","","","628","±894","","","","","882","±481","1,234","±731","1,096","±1,011","63","±104","","","1,981","±1,857","","","","","194","±271","","","1,312","±990","","","6,828","±2,457","741","±603","","","3,457","±2,676","53","±91","46","±92","99","±124","","","0","±225","","","146","±251","1,211","±568","0","±206","","","1,128","±956","583","±441","","","0","±159","","","",""
"            Sierra Leone","","","","","89","±143","","","2,640","±1,330","1,913","±2,311","347","±330","","","","","529","±404","1,154","±877","","","","","246","±402","74","±121","","","","","399","±633","","","","","8,314","±2,493","3,055","±2,389","729","±547","330","±400","","","137","±168","","","","","0","±232","","","2,805","±1,618","","","2,408","±1,356","3,763","±2,524","","","1,396","±913","188","±301","145","±200","3,470","±1,639","","","60","±99","","","100","±171","2,330","±1,218","89","±141","","","3,861","±1,634","701","±555","","","0","±159","","","",""
"            Togo","","","","","0","±232","","","867","±747","755","±713","158","±256","","","","","113","±203","3,465","±2,014","","","","","2,185","±1,172","1,618","±1,810","","","","","99","±166","","","","","5,435","±3,048","0","±225","28","±40","3,018","±2,021","","","347","±336","","","","","0","±232","","","1,326","±1,302","","","5,601","±2,418","2,959","±1,862","","","629","±478","100","±161","0","±217","766","±484","","","19","±38","","","316","±406","1,861","±1,280","0","±206","","","1,458","±1,034","205","±354","","","0","±159","","","",""
"            Other Western Africa","","","","","217","±336","","","3,385","±1,354","0","±220","603","±509","","","","","1,080","±772","4,897","±1,850","","","","","2,794","±2,254","1,445","±974","","","","","2,540","±1,839","","","","","5,460","±1,534","870","±546","1,635","±1,160","1,247","±877","","","491","±534","","","","","209","±342","","","3,534","±1,598","","","24,606","±6,425","4,474","±2,247","","","6,042","±2,512","309","±275","516","±530","6,060","±2,618","","","458","±477","","","1,492","±1,338","7,330","±2,766","0","±206","","","4,004","±2,087","1,308","±937","","","2,020","±1,721","","","",""
"        Africa, n.e.c.","","","","","7,806","±4,690","","","3,204","±1,737","379","±496","1,844","±1,338","","","","","4,218","±1,950","3,070","±1,738","","","","","1,735","±1,547","969","±706","","","","","312","±449","","","","","4,732","±2,431","2,028","±840","1,385","±1,202","1,392","±910","","","1,305","±944","","","","","1,635","±1,281","","","4,343","±2,420","","","10,734","±2,933","6,303","±2,690","","","4,848","±3,629","623","±297","868","±641","3,120","±1,748","","","130","±214","","","1,846","±1,319","11,444","±3,516","1,047","±1,174","","","2,259","±1,055","1,554","±1,547","","","62","±102","","","",""
"    Oceania:","","","","","4,809","±1,631","","","89,922","±5,980","6,455","±1,853","1,547","±696","","","","","9,140","±1,675","5,192","±2,180","","","","","5,939","±1,414","1,989","±1,274","","","","","705","±337","","","","","2,111","±925","3,832","±1,175","2,471","±929","3,033","±1,107","","","5,129","±1,309","","","","","5,545","±1,688","","","3,105","±966","","","17,170","±3,140","2,527","±909","","","1,654","±714","2,922","±869","6,713","±1,223","1,884","±603","","","1,779","±832","","","4,586","±2,107","18,624","±6,274","9,579","±1,785","","","2,517","±714","24,090","±3,466","","","2,141","±979","","","",""
"        Australia and New Zealand Subregion:","","","","","2,194","±854","","","31,587","±2,983","4,184","±1,190","1,184","±508","","","","","7,402","±1,490","2,317","±1,137","","","","","5,343","±1,343","1,012","±620","","","","","448","±225","","","","","1,469","±710","3,508","±1,127","2,154","±873","1,824","±773","","","1,283","±519","","","","","2,734","±1,209","","","2,697","±900","","","16,193","±3,063","1,616","±558","","","1,537","±701","1,016","±575","2,460","±814","1,433","±527","","","797","±627","","","2,225","±936","8,673","±1,808","1,525","±594","","","2,042","±646","6,199","±1,443","","","2,042","±963","","","",""
"            Australia","","","","","854","±347","","","23,239","±2,406","2,770","±881","1,140","±516","","","","","5,756","±1,480","1,692","±1,022","","","","","3,844","±1,214","647","±509","","","","","359","±196","","","","","962","±513","2,775","±1,051","1,546","±718","1,421","±708","","","1,035","±534","","","","","2,259","±976","","","2,555","±874","","","13,944","±2,932","1,227","±500","","","1,190","±581","918","±553","1,571","±765","827","±399","","","767","±621","","","1,951","±936","6,449","±1,639","681","±333","","","1,451","±538","4,355","±1,186","","","1,539","±801","","","",""
"            Other Australian and New Zealand Subregion","","","","","1,340","±776","","","8,348","±1,898","1,414","±682","44","±75","","","","","1,646","±647","625","±454","","","","","1,499","±746","365","±316","","","","","89","±114","","","","","507","±470","733","±361","608","±363","403","±231","","","248","±219","","","","","475","±420","","","142","±147","","","2,249","±913","389","±300","","","347","±296","98","±119","889","±371","606","±341","","","30","±59","","","274","±282","2,224","±884","844","±503","","","591","±329","1,844","±829","","","503","±325","","","",""
"        Fiji","","","","","345","±431","","","31,462","±4,141","0","±220","0","±222","","","","","412","±414","165","±152","","","","","396","±501","0","±208","","","","","0","±206","","","","","0","±225","0","±225","0","±184","30","±53","","","0","±197","","","","","161","±160","","","266","±253","","","0","±218","41","±72","","","0","±208","0","±165","655","±594","0","±190","","","0","±225","","","0","±226","659","±413","0","±206","","","165","±177","3,511","±1,370","","","0","±159","","","",""
"        Marshall Islands","","","","","203","±305","","","2,124","±1,594","21","±41","0","±222","","","","","377","±346","0","±226","","","","","0","±206","958","±1,050","","","","","0","±206","","","","","0","±225","0","±225","70","±127","52","±93","","","270","±387","","","","","150","±245","","","0","±225","","","0","±218","0","±222","","","0","±208","605","±494","819","±620","177","±269","","","0","±225","","","0","±226","0","±236","299","±269","","","52","±76","4,647","±2,486","","","75","±124","","","",""
"        Micronesia","","","","","1,151","±1,230","","","612","±489","771","±568","0","±222","","","","","81","±134","2,335","±1,792","","","","","0","±206","0","±208","","","","","233","±266","","","","","354","±360","0","±225","247","±293","579","±527","","","2,861","±1,054","","","","","892","±728","","","0","±225","","","0","±218","777","±752","","","52","±77","823","±437","1,773","±887","144","±238","","","524","±465","","","1,196","±1,562","2,258","±1,359","133","±183","","","0","±216","3,564","±1,386","","","0","±159","","","",""
"        Oceania, n.e.c.","","","","","916","±544","","","24,137","±3,845","1,479","±1,330","363","±387","","","","","868","±523","375","±284","","","","","200","±217","19","±51","","","","","24","±36","","","","","288","±434","324","±441","0","±184","548","±287","","","715","±489","","","","","1,608","±964","","","142","±105","","","977","±749","93","±127","","","65","±81","478","±279","1,006","±580","130","±149","","","458","±303","","","1,165","±1,386","7,034","±5,813","7,622","±1,513","","","258","±254","6,169","±1,811","","","24","±41","","","",""
"    Americas:","","","","","625,742","±18,831","","","5,363,805","±46,226","307,001","±12,178","315,159","±15,968","","","","","3,922,671","±39,859","649,864","±16,316","","","","","842,906","±16,834","208,787","±10,128","","","","","97,613","±5,485","","","","","452,925","±13,617","553,520","±18,017","187,992","±8,379","135,455","±6,634","","","99,480","±6,864","","","","","346,810","±11,755","","","1,126,571","±22,001","","","2,276,169","±29,353","539,920","±15,789","","","161,862","±8,465","147,962","±6,375","193,673","±7,800","380,531","±17,778","","","178,111","±8,136","","","235,234","±10,455","3,574,402","±50,703","194,277","±8,199","","","438,578","±13,708","392,696","±13,654","","","136,665","±7,299","","","",""
"        Latin America:","","","","","587,197","±18,614","","","5,236,741","±45,128","290,313","±11,975","301,207","±15,562","","","","","3,805,803","±39,786","631,070","±16,070","","","","","826,035","±16,239","202,216","±10,080","","","","","92,173","±5,587","","","","","443,235","±13,766","527,034","±17,523","150,215","±7,354","125,237","±6,523","","","93,585","±6,606","","","","","334,720","±11,520","","","1,108,141","±21,960","","","2,218,060","±29,337","519,555","±15,612","","","147,712","±8,407","144,096","±6,282","178,759","±6,970","365,481","±17,498","","","168,319","±7,946","","","224,587","±10,297","3,519,129","±49,980","186,080","±7,962","","","423,695","±13,433","349,693","±12,570","","","128,756","±6,887","","","",""
"            Caribbean:","","","","","19,124","±3,618","","","68,603","±5,741","9,513","±2,684","117,455","±9,515","","","","","1,911,510","±34,596","129,202","±9,074","","","","","32,381","±4,721","20,449","±5,819","","","","","33,770","±5,079","","","","","82,263","±9,145","196,132","±12,380","19,099","±3,666","9,912","±3,156","","","14,825","±3,510","","","","","32,259","±5,581","","","391,730","±19,214","","","1,048,444","±24,214","59,016","±6,997","","","22,645","±3,630","5,921","±1,603","5,934","±1,611","176,588","±13,214","","","22,573","±3,795","","","21,288","±4,683","170,973","±15,114","3,039","±993","","","42,839","±5,638","11,444","±2,143","","","6,549","±1,518","","","",""
"                Bahamas","","","","","206","±207","","","637","±523","110","±132","101","±131","","","","","21,922","±3,876","3,184","±1,131","","","","","478","±646","210","±184","","","","","79","±143","","","","","350","±316","510","±349","767","±892","632","±801","","","0","±197","","","","","156","±146","","","74","±113","","","2,209","±1,015","1,293","±791","","","97","±120","72","±119","139","±165","335","±310","","","28","±54","","","612","±366","990","±731","128","±156","","","670","±439","100","±166","","","182","±218","","","",""
"                Barbados","","","","","428","±534","","","1,361","±594","537","±479","1,955","±1,570","","","","","6,825","±2,336","2,647","±1,195","","","","","161","±191","427","±390","","","","","0","±206","","","","","2,586","±1,356","3,552","±1,178","0","±184","0","±157","","","68","±110","","","","","291","±243","","","4,950","±1,979","","","21,417","±3,589","562","±392","","","186","±277","0","±165","47","±78","788","±585","","","73","±123","","","133","±180","701","±586","46","±77","","","895","±529","0","±217","","","102","±185","","","",""
"                Cuba","","","","","9,045","±2,503","","","26,304","±3,256","3,613","±1,528","3,597","±1,641","","","","","1,061,136","±21,139","16,983","±2,832","","","","","9,122","±2,542","3,626","±1,673","","","","","27,831","±4,406","","","","","4,480","±1,473","4,699","±2,005","7,693","±1,984","838","±455","","","5,128","±2,139","","","","","25,435","±5,446","","","44,021","±5,474","","","22,744","±3,074","9,325","±2,250","","","1,795","±649","2,731","±1,320","4,329","±1,358","4,162","±1,501","","","4,313","±1,663","","","8,549","±2,771","100,126","±12,159","603","±466","","","4,693","±1,384","1,929","±679","","","1,848","±838","","","",""
"                Dominica","","","","","0","±232","","","336","±544","24","±40","1,556","±1,129","","","","","5,067","±1,853","1,203","±916","","","","","90","±154","229","±279","","","","","0","±206","","","","","1,123","±714","1,008","±771","0","±184","36","±59","","","0","±197","","","","","57","±96","","","4,553","±1,922","","","9,802","±2,626","644","±628","","","51","±99","39","±67","0","±217","762","±576","","","449","±603","","","0","±226","1,836","±949","0","±206","","","442","±363","0","±217","","","0","±159","","","",""
"                Dominican Republic","","","","","4,029","±2,173","","","8,339","±2,428","1,524","±963","33,391","±5,624","","","","","146,179","±10,763","15,047","±2,952","","","","","5,042","±1,933","1,831","±810","","","","","1,103","±674","","","","","14,336","±4,269","98,590","±9,329","2,312","±1,117","4,299","±2,115","","","2,542","±1,324","","","","","2,090","±1,032","","","206,836","±14,776","","","479,251","±18,445","17,867","±4,967","","","7,184","±2,513","752","±485","699","±601","116,186","±9,778","","","4,482","±2,158","","","4,198","±2,020","16,889","±3,633","1,369","±623","","","6,717","±2,161","1,755","±1,056","","","1,910","±1,013","","","",""
"                Grenada","","","","","0","±232","","","1,063","±936","0","±220","0","±222","","","","","2,853","±1,408","728","±487","","","","","619","±876","137","±252","","","","","220","±222","","","","","1,272","±902","0","±225","34","±57","0","±157","","","0","±197","","","","","0","±232","","","1,464","±897","","","17,756","±3,667","836","±1,037","","","412","±434","0","±165","0","±217","553","±501","","","283","±345","","","140","±250","1,585","±1,875","0","±206","","","339","±328","0","±217","","","0","±159","","","",""
"                Haiti","","","","","1,087","±706","","","7,241","±2,035","129","±157","25,640","±5,706","","","","","360,243","±18,367","18,146","±4,845","","","","","4,937","±2,254","12,465","±5,357","","","","","2,178","±1,516","","","","","13,985","±4,537","59,203","±6,567","1,889","±685","2,666","±2,398","","","2,871","±1,326","","","","","486","±438","","","51,258","±7,497","","","136,065","±9,410","7,752","±2,296","","","5,264","±2,587","1,019","±704","372","±401","21,839","±5,216","","","2,569","±1,805","","","1,958","±1,762","7,010","±2,091","609","±467","","","6,342","±2,534","1,006","±772","","","288","±381","","","",""
"                Jamaica","","","","","2,626","±1,563","","","13,716","±2,547","3,228","±2,225","44,820","±5,007","","","","","231,649","±14,961","53,384","±6,168","","","","","9,212","±2,049","531","±467","","","","","1,484","±1,047","","","","","30,252","±4,999","18,024","±3,213","5,765","±2,270","1,149","±714","","","2,629","±1,058","","","","","1,905","±949","","","52,741","±7,201","","","225,432","±12,308","13,185","±2,811","","","5,268","±1,595","593","±297","60","±99","22,531","±4,524","","","8,955","±2,699","","","5,253","±2,348","20,954","±4,980","284","±346","","","15,479","±3,054","4,449","±1,170","","","1,962","±832","","","",""
"                St. Lucia","","","","","0","±232","","","472","±472","0","±220","1,903","±956","","","","","5,955","±2,219","731","±821","","","","","0","±206","238","±305","","","","","305","±346","","","","","728","±650","545","±466","131","±219","57","±99","","","0","±197","","","","","44","±74","","","2,024","±1,095","","","11,174","±3,884","0","±222","","","0","±208","0","±165","0","±217","70","±115","","","0","±225","","","0","±226","1,922","±1,053","0","±206","","","517","±390","110","±191","","","0","±159","","","",""
"                St. Vincent and the Grenadines","","","","","38","±64","","","310","±240","0","±220","286","±440","","","","","4,106","±1,662","1,120","±605","","","","","306","±318","152","±157","","","","","0","±206","","","","","318","±524","218","±227","0","±184","18","±6","","","156","±174","","","","","0","±232","","","1,681","±1,253","","","15,555","±4,027","0","±222","","","126","±235","0","±165","48","±96","361","±305","","","0","±225","","","0","±226","410","±250","0","±206","","","421","±396","328","±531","","","0","±159","","","",""
"                Trinidad and Tobago","","","","","1,435","±753","","","5,039","±2,380","244","±248","2,820","±1,194","","","","","47,699","±6,147","11,850","±3,222","","","","","1,718","±1,000","542","±383","","","","","570","±599","","","","","10,823","±3,632","7,179","±2,851","76","±84","152","±215","","","1,343","±1,592","","","","","1,286","±640","","","18,004","±3,384","","","85,562","±7,686","5,668","±1,650","","","1,918","±1,052","417","±349","155","±175","6,098","±1,647","","","776","±574","","","287","±255","12,450","±3,036","0","±206","","","4,476","±1,570","938","±718","","","57","±93","","","",""
"                West Indies","","","","","76","±127","","","1,304","±834","0","±220","191","±213","","","","","3,794","±2,025","608","±620","","","","","0","±206","0","±208","","","","","0","±206","","","","","528","±678","523","±743","31","±53","0","±157","","","18","±37","","","","","265","±415","","","945","±562","","","9,011","±2,568","481","±646","","","124","±189","109","±177","0","±217","25","±45","","","301","±489","","","0","±226","2,344","±1,442","0","±206","","","621","±744","119","±191","","","0","±159","","","",""
"                Other Caribbean","","","","","154","±235","","","2,481","±1,124","104","±191","1,195","±669","","","","","14,082","±2,716","3,571","±1,345","","","","","696","±490","61","±104","","","","","0","±206","","","","","1,482","±1,025","2,081","±986","401","±434","65","±72","","","70","±124","","","","","244","±281","","","3,179","±1,209","","","12,466","±2,185","1,403","±1,000","","","220","±268","189","±164","85","±98","2,878","±1,232","","","344","±355","","","158","±243","3,756","±1,672","0","±206","","","1,227","±542","710","±576","","","200","±241","","","",""
"            Central America:","","","","","542,141","±19,562","","","4,821,002","±44,863","237,071","±10,513","58,370","±9,106","","","","","713,680","±24,792","375,030","±13,170","","","","","691,915","±16,502","153,221","±8,275","","","","","47,948","±4,722","","","","","278,616","±12,901","114,897","±10,255","108,595","±6,886","92,019","±5,820","","","65,090","±4,956","","","","","275,364","±11,026","","","304,502","±15,681","","","523,222","±23,037","371,253","±13,461","","","94,289","±6,705","123,960","±5,911","161,340","±7,401","108,118","±9,895","","","108,709","±7,494","","","170,802","±9,346","3,033,028","±43,354","122,196","±6,719","","","271,749","±12,413","296,935","±11,682","","","100,146","±6,235","","","",""
"                Belize","","","","","375","±333","","","15,646","±2,875","506","±562","190","±197","","","","","4,199","±1,157","637","±465","","","","","5,400","±1,903","994","±1,066","","","","","176","±201","","","","","388","±394","1,306","±1,283","285","±174","117","±159","","","233","±255","","","","","1,587","±1,275","","","1,709","±1,141","","","6,142","±1,940","114","±137","","","1,318","±1,092","212","±196","76","±104","669","±612","","","77","±131","","","545","±440","2,166","±935","98","±159","","","932","±712","1,045","±1,084","","","344","±347","","","",""
"                Costa Rica","","","","","935","±468","","","14,145","±2,526","2,136","±1,121","1,443","±704","","","","","20,502","±3,411","2,969","±1,392","","","","","906","±402","543","±509","","","","","411","±386","","","","","2,060","±1,118","2,662","±1,807","977","±578","1,369","±1,238","","","1,090","±1,008","","","","","899","±500","","","20,175","±4,741","","","5,412","±1,455","4,285","±1,780","","","1,009","±797","241","±260","1,225","±831","1,530","±758","","","1,710","±1,040","","","243","±292","7,595","±2,042","665","±504","","","3,091","±1,448","588","±345","","","723","±597","","","",""
"                El Salvador","","","","","9,812","±2,103","","","445,261","±19,660","7,016","±1,862","4,899","±2,043","","","","","55,166","±7,062","39,978","±5,551","","","","","11,814","±2,688","11,279","±2,626","","","","","1,452","±897","","","","","139,063","±11,198","38,826","±6,199","3,411","±1,314","9,015","±3,080","","","8,845","±3,139","","","","","32,994","±6,462","","","51,894","±7,021","","","123,611","±11,890","37,809","±5,492","","","7,738","±2,240","2,779","±1,199","6,206","±2,541","4,125","±1,439","","","6,370","±2,229","","","9,476","±3,036","222,428","±15,298","8,560","±2,542","","","106,593","±10,302","14,325","±3,906","","","868","±579","","","",""
"                Guatemala","","","","","17,078","±3,988","","","333,518","±17,704","8,790","±3,604","13,276","±3,444","","","","","100,318","±10,167","53,989","±7,995","","","","","26,200","±4,652","10,481","±2,671","","","","","8,258","±2,533","","","","","49,756","±8,039","36,540","±5,712","11,179","±3,392","5,960","±1,557","","","3,681","±1,196","","","","","13,536","±3,027","","","63,397","±7,669","","","85,373","±10,598","29,713","±6,240","","","14,871","±3,040","11,884","±2,873","12,923","±3,863","18,828","±5,373","","","9,464","±2,586","","","30,789","±4,805","100,382","±12,010","9,610","±2,771","","","40,474","±6,590","13,501","±3,895","","","2,626","±853","","","",""
"                Honduras","","","","","2,173","±883","","","80,029","±9,972","4,879","±2,308","8,471","±3,287","","","","","121,834","±11,338","24,913","±4,415","","","","","23,312","±6,166","15,169","±4,734","","","","","2,865","±1,306","","","","","35,424","±7,929","17,565","±5,718","3,148","±1,007","7,592","±2,020","","","4,691","±2,285","","","","","5,972","±2,744","","","37,204","±6,917","","","54,241","±6,965","62,805","±7,369","","","9,002","±2,753","7,216","±2,546","1,404","±1,043","13,439","±4,124","","","17,427","±3,977","","","35,184","±6,274","205,178","±16,194","3,231","±1,647","","","42,413","±6,959","6,526","±3,343","","","2,432","±1,298","","","",""
"                Mexico","","","","","508,652","±20,060","","","3,840,911","±39,584","207,613","±9,826","23,604","±4,401","","","","","255,717","±13,418","239,566","±11,433","","","","","617,398","±16,781","111,126","±7,633","","","","","33,027","±3,566","","","","","38,790","±4,721","11,065","±2,322","87,016","±5,794","64,597","±5,395","","","45,145","±4,264","","","","","213,151","±10,024","","","119,179","±9,948","","","221,673","±12,881","223,339","±10,727","","","55,864","±5,899","101,443","±5,560","136,581","±7,433","63,617","±6,663","","","68,030","±6,467","","","90,315","±7,117","2,449,122","±43,578","99,616","±7,047","","","66,853","±7,564","255,586","±11,611","","","90,096","±6,049","","","",""
"                Nicaragua","","","","","1,843","±1,012","","","79,585","±8,266","4,097","±2,376","5,723","±5,382","","","","","136,253","±12,223","7,456","±2,933","","","","","4,864","±2,139","2,621","±1,289","","","","","776","±662","","","","","9,403","±3,605","3,236","±1,881","1,010","±790","3,022","±1,749","","","937","±540","","","","","5,708","±2,799","","","7,448","±2,043","","","12,543","±3,760","8,330","±2,117","","","2,652","±1,537","0","±165","2,301","±2,041","3,536","±1,965","","","4,332","±1,996","","","3,079","±2,058","36,148","±6,588","109","±178","","","5,230","±1,996","3,738","±2,215","","","2,855","±1,524","","","",""
"                Panama","","","","","675","±398","","","10,151","±2,533","2,034","±974","764","±498","","","","","19,525","±2,643","5,522","±1,790","","","","","2,021","±1,026","1,008","±699","","","","","921","±587","","","","","3,732","±1,427","925","±737","1,455","±1,401","205","±138","","","468","±410","","","","","1,163","±586","","","3,496","±1,577","","","13,913","±2,651","4,658","±1,330","","","1,835","±850","185","±127","524","±324","2,070","±812","","","1,299","±600","","","943","±524","9,439","±2,101","307","±260","","","6,163","±3,675","1,626","±770","","","202","±179","","","",""
"                Other Central America","","","","","598","±959","","","1,756","±1,068","0","±220","0","±222","","","","","166","±222","0","±226","","","","","0","±206","0","±208","","","","","62","±119","","","","","0","±225","2,772","±2,050","114","±189","142","±196","","","0","±197","","","","","354","±415","","","0","±225","","","314","±433","200","±251","","","0","±208","0","±165","100","±170","304","±404","","","0","±225","","","228","±321","570","±456","0","±206","","","0","±216","0","±217","","","0","±159","","","",""
"            South America:","","","","","25,932","±4,150","","","347,136","±15,853","43,729","±6,480","125,382","±11,152","","","","","1,180,613","±29,481","126,838","±9,507","","","","","101,739","±9,677","28,546","±5,465","","","","","10,455","±2,189","","","","","82,356","±7,648","216,005","±15,397","22,521","±3,148","23,306","±3,484","","","13,670","±2,550","","","","","27,097","±4,456","","","411,909","±17,750","","","646,394","±21,086","89,286","±9,115","","","30,778","±4,076","14,215","±2,984","11,485","±2,438","80,775","±8,479","","","37,037","±4,741","","","32,497","±5,835","315,128","±18,115","60,845","±7,640","","","109,107","±8,328","41,314","±6,715","","","22,061","±3,705","","","",""
"                Argentina","","","","","1,403","±669","","","30,781","±3,316","1,574","±595","3,639","±1,586","","","","","66,351","±6,088","4,087","±1,355","","","","","6,713","±2,398","1,580","±781","","","","","555","±528","","","","","4,850","±1,513","4,125","±1,476","1,913","±798","723","±469","","","941","±896","","","","","2,789","±1,033","","","10,683","±2,385","","","19,178","±3,163","7,807","±2,376","","","1,420","±637","373","±299","1,146","±700","3,269","±1,058","","","1,363","±838","","","1,267","±790","15,983","±3,961","3,266","±1,365","","","6,848","±2,035","2,549","±1,172","","","1,375","±749","","","",""
"                Bolivia","","","","","464","±399","","","13,798","±3,745","2,073","±1,369","1,128","±913","","","","","9,742","±2,735","845","±496","","","","","1,568","±1,352","333","±247","","","","","687","±751","","","","","8,691","±2,792","2,180","±1,200","118","±133","328","±276","","","1,137","±993","","","","","479","±398","","","2,686","±1,445","","","7,041","±2,471","1,409","±850","","","561","±503","627","±498","108","±182","1,094","±738","","","632","±387","","","37","±69","4,287","±1,804","1,162","±648","","","24,593","±4,784","458","±319","","","213","±189","","","",""
"                Brazil","","","","","3,440","±1,229","","","60,087","±5,638","4,869","±2,089","28,017","±5,388","","","","","173,433","±10,720","24,933","±5,044","","","","","7,632","±1,769","3,423","±1,424","","","","","1,216","±625","","","","","10,330","±2,676","130,323","±13,341","8,917","±1,901","1,960","±869","","","2,414","±1,036","","","","","4,531","±1,719","","","52,290","±6,715","","","37,196","±6,337","14,147","±3,142","","","5,669","±1,974","1,427","±742","1,766","±814","22,415","±5,837","","","6,186","±2,292","","","3,420","±1,165","37,793","±6,474","7,641","±2,547","","","8,669","±2,088","10,548","±3,070","","","3,217","±1,381","","","",""
"                Chile","","","","","1,081","±674","","","19,232","±3,271","3,124","±1,397","2,334","±1,372","","","","","27,576","±4,194","2,626","±1,026","","","","","3,931","±1,747","3,440","±3,145","","","","","146","±230","","","","","5,359","±1,822","5,815","±1,816","945","±493","484","±365","","","469","±367","","","","","1,417","±649","","","6,647","±2,243","","","12,291","±2,711","4,445","±2,140","","","1,345","±731","67","±86","838","±591","1,728","±754","","","1,609","±1,203","","","901","±650","6,512","±1,946","5,392","±2,697","","","3,125","±1,223","3,085","±1,924","","","847","±410","","","",""
"                Colombia","","","","","8,983","±2,183","","","84,352","±10,265","11,857","±3,890","19,801","±4,600","","","","","332,627","±14,787","36,532","±4,794","","","","","26,153","±4,812","4,132","±1,783","","","","","3,860","±1,508","","","","","13,181","±3,962","32,576","±5,627","3,116","±907","5,976","±1,814","","","3,118","±1,118","","","","","6,194","±2,262","","","104,166","±8,663","","","123,642","±10,328","28,398","±4,943","","","7,396","±2,361","2,620","±866","3,304","±1,562","17,267","±3,473","","","13,199","±2,682","","","6,612","±2,384","75,354","±9,177","8,211","±2,553","","","16,739","±3,061","9,476","±3,024","","","7,367","±2,884","","","",""
"                Ecuador","","","","","1,858","±888","","","28,250","±5,006","695","±490","41,164","±6,558","","","","","51,043","±6,860","6,411","±1,905","","","","","23,029","±7,173","1,059","±698","","","","","727","±552","","","","","6,744","±2,637","17,282","±4,391","732","±347","6,035","±1,940","","","1,453","±1,111","","","","","779","±631","","","106,173","±9,467","","","185,436","±13,305","4,626","±1,480","","","1,384","±649","1,049","±960","655","±531","11,078","±3,368","","","1,874","±1,069","","","1,825","±954","14,851","±3,790","3,302","±1,478","","","6,747","±2,064","2,718","±1,342","","","2,338","±1,335","","","",""
"                Guyana","","","","","292","±290","","","4,723","±1,589","169","±194","4,491","±1,768","","","","","38,752","±5,659","11,253","±2,948","","","","","175","±143","481","±337","","","","","45","±74","","","","","7,348","±2,060","2,345","±1,516","39","±67","2,540","±1,088","","","454","±364","","","","","89","±110","","","25,494","±4,930","","","156,674","±10,559","1,510","±856","","","704","±474","203","±234","0","±217","5,437","±1,853","","","1,289","±1,040","","","326","±293","4,364","±1,648","315","±354","","","3,553","±1,420","206","±228","","","170","±185","","","",""
